ano_mes,cod_material,des_material,des_familia,cod_tipo_material,unidade_medida,des_categoria_demanda,vlr_consumo_realizado,qtd_realizada,qtd_prevista
2025-09-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,3392.5,181.9,327.9
2025-08-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,5561.7,298.3,308.6
2025-07-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,12824.2,687.7,287
2025-06-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,9941.2,533.1,231.8
2025-05-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,14223.3,762.8,287.1
2025-04-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,8793.3,471.5,257.9
2025-03-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,5998.6,321.7,223
2025-02-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,8584.2,460.3,233.8
2025-01-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,3098.1,166.2,230
2024-12-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,7607.8,408,280.4
2024-11-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,8920,478.4,336.3
2024-10-01,COD_6104726D,DES_0171CF7D,DES_9657CF6E,ROH,KG,Erratic,2816.8,151.1,293.3
2025-09-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,4274,232.6,333.6
2025-08-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,9667.7,526.2,328.6
2025-07-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,4859.1,264.5,346.9
2025-06-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,4300.5,234.1,350.1
2025-05-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,14644.7,797.1,443.7
2025-04-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,8645.8,470.6,342.8
2025-03-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,4188.4,228,422.2
2025-02-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,3272.4,178.1,367.6
2025-01-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,3951.2,215.1,355.1
2024-12-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,10557.2,574.6,349.2
2024-11-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,4587.7,249.7,455.3
2024-10-01,COD_7F12E992,DES_E7D1F6B1,DES_9657CF6E,ROH,KG,Erratic,4629.6,252,455.4
2025-09-01,COD_0418A307,DES_CD044DBA,DES_9657CF6E,ROH,KG,Erratic,90470.5,5864.5,10903
2025-08-01,COD_0418A307,DES_CD044DBA,DES_9657CF6E,ROH,KG,Erratic,122681.8,7952.7,12159.3
2025-07-01,COD_0418A307,DES_CD044DBA,DES_9657CF6E,ROH,KG,Erratic,143362.8,9293.3,11825.4
2025-06-01,COD_0418A307,DES_CD044DBA,DES_9657CF6E,ROH,KG,Erratic,147194,9541.7,13578.2
2025-05-01,COD_0418A307,DES_CD044DBA,DES_9657CF6E,ROH,KG,Erratic,157856.5,10233,13044.4
2025-04-01,COD_0418A307,DES_CD044DBA,DES_9657CF6E,ROH,KG,Erratic,153556.6,9954.2,13080.2
2025-03-01,COD_0418A307,DES_CD044DBA,DES_9657CF6E,ROH,KG,Erratic,205920,13348.6,13288
2025-02-01,COD_0418A307,DES_CD044DBA,DES_9657CF6E,ROH,KG,Erratic,112893.6,7318.3,12949.8
